2022/12/31 16:30:01.316215 [INFO] Log Publish not set, skipping...
2022/12/31 16:50:01.369547 [INFO] Log Publish not set, skipping...
2022/12/31 17:10:01.577161 [INFO] Log Publish not set, skipping...
2022/12/31 17:30:01.629850 [INFO] Log Publish not set, skipping...
2022/12/31 17:50:01.686732 [INFO] Log Publish not set, skipping...
2022/12/31 18:10:01.914183 [INFO] Log Publish not set, skipping...
2022/12/31 18:30:01.969431 [INFO] Log Publish not set, skipping...
2022/12/31 18:50:01.022341 [INFO] Log Publish not set, skipping...
2022/12/31 19:10:01.229889 [INFO] Log Publish not set, skipping...
2022/12/31 19:30:01.282553 [INFO] Log Publish not set, skipping...
2022/12/31 19:50:01.341399 [INFO] Log Publish not set, skipping...
2022/12/31 20:10:01.547718 [INFO] Log Publish not set, skipping...
2022/12/31 20:30:01.603192 [INFO] Log Publish not set, skipping...
2022/12/31 20:50:01.653129 [INFO] Log Publish not set, skipping...
2022/12/31 21:10:01.869356 [INFO] Log Publish not set, skipping...
2022/12/31 21:30:01.931473 [INFO] Log Publish not set, skipping...
2022/12/31 21:50:01.981866 [INFO] Log Publish not set, skipping...
2022/12/31 22:10:01.205829 [INFO] Log Publish not set, skipping...
2022/12/31 22:30:01.262320 [INFO] Log Publish not set, skipping...
2022/12/31 22:50:01.317361 [INFO] Log Publish not set, skipping...
2022/12/31 23:10:01.538164 [INFO] Log Publish not set, skipping...
2022/12/31 23:30:01.594679 [INFO] Log Publish not set, skipping...
2022/12/31 23:50:01.665677 [INFO] Log Publish not set, skipping...
2023/01/01 00:10:01.970182 [INFO] Log Publish not set, skipping...
2023/01/01 00:30:01.025227 [INFO] Log Publish not set, skipping...
2023/01/01 00:50:01.078158 [INFO] Log Publish not set, skipping...
2023/01/01 01:10:01.310616 [INFO] Log Publish not set, skipping...
2023/01/01 01:30:01.361889 [INFO] Log Publish not set, skipping...
2023/01/01 01:50:01.417399 [INFO] Log Publish not set, skipping...
2023/01/01 02:10:01.642077 [INFO] Log Publish not set, skipping...
2023/01/01 02:30:01.697540 [INFO] Log Publish not set, skipping...
2023/01/01 02:50:01.754387 [INFO] Log Publish not set, skipping...
2023/01/01 03:10:01.049029 [INFO] Log Publish not set, skipping...
2023/01/01 03:30:01.101697 [INFO] Log Publish not set, skipping...
2023/01/01 03:50:01.154629 [INFO] Log Publish not set, skipping...
2023/01/01 04:10:01.362454 [INFO] Log Publish not set, skipping...
2023/01/01 04:30:01.414382 [INFO] Log Publish not set, skipping...
2023/01/01 04:50:01.470626 [INFO] Log Publish not set, skipping...
2023/01/01 05:10:01.673875 [INFO] Log Publish not set, skipping...
2023/01/01 05:30:01.729788 [INFO] Log Publish not set, skipping...
2023/01/01 05:50:01.785306 [INFO] Log Publish not set, skipping...
2023/01/01 06:10:01.055232 [INFO] Log Publish not set, skipping...
2023/01/01 06:30:01.105155 [INFO] Log Publish not set, skipping...
2023/01/01 06:50:01.157436 [INFO] Log Publish not set, skipping...
2023/01/01 07:10:01.369721 [INFO] Log Publish not set, skipping...
2023/01/01 07:30:01.425682 [INFO] Log Publish not set, skipping...
2023/01/01 07:50:01.478369 [INFO] Log Publish not set, skipping...
2023/01/01 08:10:01.686533 [INFO] Log Publish not set, skipping...
2023/01/01 08:30:01.741490 [INFO] Log Publish not set, skipping...
2023/01/01 08:50:01.798818 [INFO] Log Publish not set, skipping...
2023/01/01 09:10:01.033016 [INFO] Log Publish not set, skipping...
2023/01/01 09:30:01.086111 [INFO] Log Publish not set, skipping...
2023/01/01 09:50:01.141366 [INFO] Log Publish not set, skipping...
2023/01/01 10:10:01.346311 [INFO] Log Publish not set, skipping...
2023/01/01 10:30:01.401303 [INFO] Log Publish not set, skipping...
2023/01/01 10:50:01.457255 [INFO] Log Publish not set, skipping...
2023/01/01 11:10:01.681714 [INFO] Log Publish not set, skipping...
2023/01/01 11:30:01.737240 [INFO] Log Publish not set, skipping...
2023/01/01 11:50:01.799063 [INFO] Log Publish not set, skipping...
2023/01/01 12:10:01.038301 [INFO] Log Publish not set, skipping...
2023/01/01 12:30:01.091399 [INFO] Log Publish not set, skipping...
2023/01/01 12:50:01.141880 [INFO] Log Publish not set, skipping...
2023/01/01 13:10:01.349163 [INFO] Log Publish not set, skipping...
2023/01/01 13:30:01.402357 [INFO] Log Publish not set, skipping...
2023/01/01 13:50:01.457453 [INFO] Log Publish not set, skipping...
2023/01/01 14:10:01.662239 [INFO] Log Publish not set, skipping...
2023/01/01 14:30:01.718890 [INFO] Log Publish not set, skipping...
2023/01/01 14:50:01.770161 [INFO] Log Publish not set, skipping...
2023/01/01 15:10:01.999757 [INFO] Log Publish not set, skipping...
2023/01/01 15:30:01.049315 [INFO] Log Publish not set, skipping...
2023/01/01 15:50:01.101651 [INFO] Log Publish not set, skipping...
